1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
13,WOLF,זאב,SINGLE,https://vimeo.com/396889484,media13.mp4,4.842,5.500,3.146,1,טורפת,Claw.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,TIMRP,מעוקמות ,פרוסות כמו בסימון 4,מנוגד,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,אחורה,למעלה,כן,בתחילת הסימן,רֹאשׁ,פה,לא רלוונטי,על קו האמצע,כן,ישר,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,קרוב>מרוחק,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
14,FLY,זבוב,SINGLE,https://vimeo.com/396889516,media14.mp4,6.316,5.333,4.439,1,פרפר,F-curved.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,TI,מעוקמות ,לא רלוונטי,מנוגד,סגור,לא רלוונטי,לא רלוונטי,לא רלוונטי,קדימה,למעלה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,באותו הצד,כן,מעגל,לא רלוונטי,אופקי (מצד לצד),לא רלוונטי,נגד כיוון השעון,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,לא רלוונטי,לא (חד כיווני),לא,לא,לא,לא
15,ZEBRA,זברה,SINGLE,https://vimeo.com/497653720,media15.mp4,4.263,5.389,4.561,1,אצבע,Index-1.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,I,מוארכות,לא רלוונטי,משתנה,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,אחורה,לצד הנגדי,כן,מתמשך,טוֹרסוֹ,טורסו עליון,לא רלוונטי,על קו האמצע,כן,ישר,ישר,אופקי (מצד לצד),אנכי (למעלה/למטה),צד נגדי>צד דומיננטי,צד נגדי>צד דומיננטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,לא,לא רלוונטי,לא (חד כיווני),כן,לא,לא,לא
16,ANIMAL (1),חיה (בעל חיים)(1),SINGLE,https://vimeo.com/396889570,media16.mp4,5.947,4.444,4.098,2,רפויה,Lax.jpg,לא רלוונטי,N/A,רפויה,Lax.jpg,לא,TIMRP,אַחֵר,אַחֵר,למעלה,ללא מגע,כן,אותו,לא,למטה,קדימה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,כן,קשת,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,עם כיוון השעון,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,לסירוגין,לא (חד כיווני),לא,לא,לא,לא
17,ANIMAL (2),חיה (בעל חיים)(2),SINGLE,https://vimeo.com/396889611,media17.mp4,5.316,5.000,4.000,2,חית,Horns.jpg,לא רלוונטי,N/A,חית,Horns.jpg,לא,IP,מוארכות,לא רלוונטי,חוצה,ללא מגע,כן,אותו,לא,"דינמי, משתנה",קדימה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,כן,קשת,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,לא בטוח,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,לסירוגין,לא (חד כיווני),לא,לא,לא,לא
18,BEETLE,חיפושית,SINGLE,https://vimeo.com/497653768,media18.mp4,3.842,4.944,4.122,2,טורפת,Claw.jpg,לא רלוונטי,N/A,צמודה,5-thumb.jpg,לא,TIMRP,מעוקמות ,פרוסות כמו בסימון 4,מנוגד,ללא מגע,לא,שונה,לא,למטה,לצד הנגדי,כן,לא בטוח,יד 2,גב כף היד,לא רלוונטי,לא רלוונטי (על בסיס היד הלא דומיננטית),כן,ישר,לא רלוונטי,במקביל לאיבר בגוף,לא רלוונטי,מרוחק>קרוב,לא רלוונטי,כן,ניענוע (כמו ״מתמטיקה״),לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,כן
19,DONKEY (1),חמור (1),SINGLE,https://vimeo.com/396889659,media19.mp4,4.947,5.333,4.098,2,מספריים,V.jpg,לא רלוונטי,N/A,מספריים,V.jpg,לא,IM,מוארכות,לא בטוח,חוצה,ללא מגע,כן,אותו,לא,שתי ידיים פונות לצדדים מנוגדים,למעלה,קירוב בלבד,מחובר,רֹאשׁ,צד הפנים,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,לא,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא,לא רלוונטי,כן,סיבוב (כמו ״כן״),מרובות,כן,סִימוּלטָנִי,לא (חד כיווני),לא,לא,לא,לא
20,CAT,חתול,SINGLE,https://vimeo.com/396889696,media20.mp4,6.842,6.444,5.122,2,רופא,Open-F.jpg,פרפר מצביע,F-flat.jpg,רופא,Open-F.jpg,לא,TI,מעוקמות ,לא רלוונטי,מנוגד,ללא מגע,כן,אותו,לא,שתי ידיים פונות לצדדים מנוגדים,למעלה,קירוב בלבד,בתחילת הסימן,רֹאשׁ,פה,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,כן,ישר,לא רלוונטי,אופקי (מצד לצד),לא רלוונטי,צד נגדי>צד דומיננטי,לא רלוונטי,כן,סגירה,לא,לא רלוונטי,מרובות,כן,סִימוּלטָנִי,לא (חד כיווני),לא,לא,לא,לא
21,PEACOCK,טווס,SINGLE,https://vimeo.com/497653588,media21.mp4,4.368,5.889,4.415,2,4,4.jpg,לא רלוונטי,N/A,4,4.jpg,לא,TIMRP,מוארכות,פרוסות כמו בסימון 4,חוצה,ללא מגע,כן,אותו,לא,קדימה,"דינמי, משתנה",קירוב בלבד,בתחילת הסימן,שני מיקומים,צד הפנים,שטח נייטרלי,סימטריה עם שימוש בשתי הידיים,כן,קשת,לא רלוונטי,אנכי (למעלה/למטה),לא רלוונטי,עם כיוון השעון,צד נגדי>צד דומיננטי,לא,לא רלוונטי,לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
22,LAMB,טלה,SINGLE,https://vimeo.com/497653673,media22.mp4,5.105,5.722,4.732,2,אצבע,Index-1.jpg,לא רלוונטי,N/A,אצבע,Index-1.jpg,לא,I,מוארכות,לא רלוונטי,משתנה,ללא מגע,כן,אותו,לא,למטה,שתי ידיים פונות לצדדים מנוגדים,קירוב בלבד,בתחילת הסימן,רֹאשׁ,צד הפנים,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,כן,"ספירלי, לולייני",לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,עם כיוון השעון,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,לא בטוח,סִימוּלטָנִי,לא (חד כיווני),לא,לא,לא,לא
23,BIRD,יונה/ציפור (ציפור),SINGLE,https://vimeo.com/396890223,media23.mp4,6.737,6.167,6.585,2,צמודה,5-thumb.jpg,לא רלוונטי,N/A,צמודה,5-thumb.jpg,לא,TIMRP,מוארכות,צמודות כמו בסימון B,כלפי חוץ,ללא מגע,כן,אותו,לא,"דינמי, משתנה",אַחֵר,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,לא,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא,לא רלוונטי,כן,הנהון,מרובות,כן,סִימוּלטָנִי,לא (חד כיווני),לא,לא,לא,לא בטוח
25,SHEEP,כבשה,SINGLE,https://vimeo.com/396890276,media25.m4v,5.263,6.056,2.585,2,טורפת,Claw.jpg,לא רלוונטי,N/A,טורפת,Claw.jpg,לא,TIMRP,מעוקמות ,פרוסות כמו בסימון 4,מנוגד,ללא מגע,כן,אותו,לא,אחורה,שתי ידיים פונות לצדדים מנוגדים,כן,מתמשך,טוֹרסוֹ,טורסו עליון,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,כן,מעגל,לא רלוונטי,אנכי (למעלה/למטה),לא רלוונטי,נגד כיוון השעון,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,סִימוּלטָנִי,לא (חד כיווני),לא,לא,לא,לא
26,DOG,כלב,SINGLE,https://vimeo.com/396890780,media26.mp4,7.000,5.889,2.341,2,רפויה,Lax.jpg,לא רלוונטי,N/A,רפויה,Lax.jpg,לא,TIMRP,אַחֵר,אַחֵר,למעלה,ללא מגע,כן,אותו,לא,למטה,קדימה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,כן,ישר,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,קרוב>מרוחק,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,סִימוּלטָנִי,לא (חד כיווני),לא,לא,לא,לא
27,SNAKE,נחש,SINGLE,https://vimeo.com/396890819,media27.mp4,6.211,6.500,6.463,1,אצבע,Index-1.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,I,מוארכות,לא רלוונטי,משתנה,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,לצד הנגדי,קדימה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,על קו האמצע,כן,Z צורת,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,קרוב>מרוחק,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,לא בטוח,לא רלוונטי,לא (חד כיווני),לא,לא,לא,לא
29,HORSE (1),סוס (1),SINGLE,https://vimeo.com/396890874,media29.mp4,6.158,6.278,4.220,2,משלם,Small-O.jpg,לא רלוונטי,N/A,משלם,Small-O.jpg,לא,TI,מאונקלות (כמו וו),לא רלוונטי,למעלה,אצבע מצעית,כן,אותו,לא,שתי ידיים פונות לצדדים מנוגדים,קדימה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,כן,ישר,לא רלוונטי,אנכי (למעלה/למטה),לא רלוונטי,גבוה>נמוך,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,סִימוּלטָנִי,לא בטוח,לא,לא,לא,לא
30,SQUIRREL,סנאי,SINGLE,https://vimeo.com/497653491,media30.mp4,3.211,5.389,4.000,2,בצורת U עם עיקום,U-swear-curved.jpg,לא רלוונטי,N/A,בצורת U עם עיקום,U-swear-curved.jpg,לא,IM,מעוקמות ,לא רלוונטי,לא בטוח,ללא מגע,לא,אותו,לא,למטה/למעלה (2 ידיים),קדימה,כן,בסוף הסימן,שני מיקומים,פה,פנים כף היד,על קו האמצע,כן,ישר,לא רלוונטי,אנכי (למעלה/למטה),לא רלוונטי,גבוה>נמוך,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,לא רלוונטי,לא (חד כיווני),לא,לא,לא,לא
31,MOUSE (ANIMAL),עכבר (בעל חיים),SINGLE,https://vimeo.com/396892038,media31.mp4,6.105,5.833,3.317,2,עכבר,Flat-O-curved.jpg,לא רלוונטי,N/A,צמודה,5-thumb.jpg,לא,TIMRP,מעוקמות ,צמודות כמו בסימון B,מנוגד,אצבע מצעית,לא,שונה,לא,למטה/למעלה (2 ידיים),קדימה,כן,בסוף הסימן,יד 2,פנים כף היד,לא רלוונטי,לא רלוונטי (על בסיס היד הלא דומיננטית),כן,ישר,ישר,חתך אמצעי (פנימה/החוצה),אנכי (למעלה/למטה),קרוב>מרוחק,גבוה>נמוך,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,לא רלוונטי,לא (חד כיווני),כן,לא,לא,לא
32,ELEPHANT,פיל,SINGLE,https://vimeo.com/396892128,media32.mp4,5.895,6.500,6.293,1,מעוגלת,C.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,TIMRP,מעוקמות ,צמודות כמו בסימון B,מנוגד,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,לצד הנגדי,למעלה,כן,בתחילת הסימן,שני מיקומים,אף,שטח נייטרלי,על קו האמצע,כן,U צורת האות ,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,קרוב>מרוחק,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
33,PENGUIN,פינגווין,SINGLE,https://vimeo.com/497653541,media33.mp4,4.316,6.278,4.854,2,צמודה,5-thumb.jpg,לא רלוונטי,N/A,צמודה,5-thumb.jpg,לא,TIMRP,מוארכות,צמודות כמו בסימון B,כלפי חוץ,ללא מגע,כן,אותו,לא,למטה,אַחֵר,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי - נמוך,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,כן,ישר,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,קרוב>מרוחק,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,לסירוגין,לא (חד כיווני),לא,לא,לא,לא
34,COW,פרה,SINGLE,https://vimeo.com/396892273,media34.mp4,6.737,6.111,3.000,2,צהוב,Y.jpg,לא רלוונטי,N/A,צהוב,Y.jpg,לא,TP,מוארכות,לא רלוונטי,כלפי חוץ,ללא מגע,כן,אותו,לא,"דינמי, משתנה",שתי ידיים פונות לצדדים מנוגדים,כן,בתחילת הסימן,רֹאשׁ,מצח ורקות (כמו כתר),לא רלוונטי,סימטריה עם שימוש בשתי הידיים,כן,ישר,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,קרוב>מרוחק,לא רלוונטי,לא,לא רלוונטי,כן,סיבוב (כמו ״כן״),אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
35,BUTTERFLY,פרפר,SINGLE,https://vimeo.com/497653393,media35.mp4,6.421,6.056,5.927,2,צמודה,5-thumb.jpg,זָוִית,Bent.jpg,צמודה,5-thumb.jpg,לא,TIMRP,מוארכות,צמודות כמו בסימון B,כלפי חוץ,ללא מגע,כן,אותו,מְחוּבָּר,קדימה,למעלה,כן (מגע סימטרי ביד2 במרחב נייטרלי),מתמשך,שטח נייטרלי,שטח נייטרלי - גבוה,לא רלוונטי,על קו האמצע,כן,ישר,לא רלוונטי,אנכי (למעלה/למטה),לא רלוונטי,נמוך>גבוה,לא רלוונטי,כן,כיפוף (אצבעות שלמות),לא,לא רלוונטי,מרובות,לא,סִימוּלטָנִי,לא (חד כיווני),כן,לא,לא,לא
36,TURTLE,צב,SINGLE,https://vimeo.com/497653452,media36.mp4,5.632,6.111,4.293,2,פשוקה,5-Open.jpg,טורפת,Claw.jpg,פשוקה,5-Open.jpg,לא,TIMRP,מוארכות,פרוסות כמו בסימון 4,כלפי חוץ,ללא מגע,כן,אותו,מְחוּבָּר,למטה,קדימה,כן,מחובר,יד 2,גב כף היד,לא רלוונטי,על קו האמצע,לא,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,כן,כיפוף (קצות אצבעות),לא,לא רלוונטי,מרובות,כן,סִימוּלטָנִי,לא (חד כיווני),לא,לא,לא,לא
37,FROG (1),צפרדע (1),SINGLE,https://vimeo.com/396892511,media37.mp4,5.158,5.833,4.366,2,צדי,Three.jpg,לא רלוונטי,N/A,פשוקה,5-Open.jpg,כן,TIM,מוארכות,פרוסות כמו בסימון 4,כלפי חוץ,ללא מגע,לא,שונה,מְחוּבָּר,למטה/למעלה (2 ידיים),קדימה,כן,בסוף הסימן,שני מיקומים,פנים כף היד,שטח נייטרלי,לא רלוונטי (על בסיס היד הלא דומיננטית),כן,ישר,ישר,אופקי (מצד לצד),אנכי (למעלה/למטה),צד דומיננטי>צד נגדי,נמוך>גבוה,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,לא,לא רלוונטי,כן (דו כיווני),כן,לא,לא,לא
38,MONKEY (2),קוף (2),SINGLE,https://vimeo.com/396892601,media38.mp4,6.000,6.333,4.463,2,טורפת,Claw.jpg,לא רלוונטי,N/A,טורפת,Claw.jpg,לא,TIMRP,מעוקמות ,פרוסות כמו בסימון 4,מנוגד,ללא מגע,כן,אותו,לא,אחורה,שתי ידיים פונות לצדדים מנוגדים,כן,באמצע הסימן,טוֹרסוֹ,טורסו עליון,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,כן,ישר,לא רלוונטי,אנכי (למעלה/למטה),לא רלוונטי,נמוך>גבוה,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,סִימוּלטָנִי,לא (חד כיווני),לא,לא,לא,לא
39,HEDGEHOG,קיפוד,SINGLE,https://vimeo.com/396892669,media39.mp4,4.105,6.167,4.049,2,פרפר מצביע,F-flat.jpg,לא רלוונטי,N/A,אגרוף,Fist.jpg,לא,TI,זווית,לא רלוונטי,מנוגד,סגור,לא,שונה,לא,למטה,שתי ידיים פונות לצדדים מנוגדים,כן,בתחילת הסימן,יד 2,גב כף היד,לא רלוונטי,לא רלוונטי (על בסיס היד הלא דומיננטית),כן,ישר,ישר,אופקי (מצד לצד),אנכי (למעלה/למטה),צד נגדי>צד דומיננטי,נמוך>גבוה,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,לא,לא רלוונטי,לא (חד כיווני),כן,לא,לא,לא
40,RABBIT,ארנב,SINGLE,https://vimeo.com/396892731,media40.mp4,5.789,6.111,4.585,2,נשבע,U-swear.jpg,נשבע מכופף,U-swear-bent.jpg,נשבע,U-swear.jpg,לא,IM,מוארכות,צמודות כמו בסימון B,חוצה,ללא מגע,כן,אותו,לא,קדימה,למעלה,קירוב בלבד,מחובר,רֹאשׁ,מצח ורקות (כמו כתר),לא רלוונטי,סימטריה עם שימוש בשתי הידיים,לא,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,כן,כיפוף (אצבעות שלמות),לא,לא רלוונטי,מרובות,כן,סִימוּלטָנִי,לא (חד כיווני),לא,לא,לא,לא
41,PARROT,תוכי,SINGLE,https://vimeo.com/396894704,media41.mp4,4.842,6.056,3.268,1,אצבע כפופה,X.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,I,מאונקלות (כמו וו),לא רלוונטי,חוצה,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,קדימה,למעלה,קירוב בלבד,מחובר,רֹאשׁ,פה,לא רלוונטי,על קו האמצע,לא,לא בטוח,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא,לא רלוונטי,כן,הנהון,מרובות,כן,לא רלוונטי,לא (חד כיווני),לא,לא,לא,לא
