Hebrew Text,Hebrew Gloss
היא ציירה ציור של נוף ים יפה,היא ים נוף יפה של ציור ציירה
הם קנו רהיטים חדשים לביתם החדש,הם ביתם חדש ל רהיטים חדשים קנו
אני קורא מאמר על טכנולוגיה באינטרנט,אני אינטרנט ב טכנולוגיה על מאמר קורא
היא בישלה תבשיל טעים עם ירקות,היא ירקות עם תבשיל טעים בישלה
הם נסעו לטיול בדרום הארץ,הם ארץ דרום ב טיול ל נסעו
הילדה שרה שיר ילדים בגן,ילדה גן ב ילדים שיר שרה
המורה הסבירה את המילים החדשות לתלמידים,מורה תלמידים ל מילים חדשות הסבירה
אנחנו רואים סרט אנימציה בטלוויזיה,אנחנו טלוויזיה ב אנימציה סרט רואים
הוא נסע באוטובוס לעבודה בבוקר,הוא בוקר ב עבודה ל אוטובוס ב נסע
היא קנתה בגדים חדשים לתינוק שלה,היא תינוק שלה ל בגדים חדשים קנתה
הם הלכו לגינה הציבורית עם הכלב,הם כלב עם גינה ציבורית ל הלכו
אני אוהב לכתוב שירים על אהבה,אני אהבה על שירים לכתוב אוהב
היא למדה לרקוד ריקוד חדש בסטודיו,היא סטודיו ב ריקוד חדש לרקוד למדה
הם שיחקו משחקי קופסה בסלון עם חברים,הם חברים עם סלון ב משחקי קופסה שיחקו
הילד צחק מסרט מצחיק שראינו בקולנוע,ילד קולנוע ב ראינו סרט מצחיק מ צחק
המורה נתנה שיעורי בית קשים מאוד לתלמידים,מורה תלמידים ל מאוד קשים שיעורי בית נתנה
אנחנו שותים מים קרים מאוד בקיץ החם,אנחנו קיץ חם ב מאוד קרים מים שותים
הוא כתב סיפור קצר מאוד על חיות בגן החיות,הוא גן חיות ב חיות על מאוד קצר סיפור כתב
היא ציירה ציור של נוף ים יפה מאוד,היא מאוד יפה ים נוף של ציור ציירה
הם קנו רהיטים חדשים מאוד לביתם החדש,הם ביתם חדש ל מאוד חדשים רהיטים קנו
אני קורא ספר מעניין מאוד על היסטוריה עולמית,אני עולמית היסטוריה על מאוד מעניין ספר קורא
היא בישלה עוגה טעימה מאוד ליום ההולדת שלי,היא שלי יום הולדת ל מאוד טעימה עוגה בישלה
הם נסעו לטיול משפחתי ארוך מאוד,הם מאוד ארוך משפחתי טיול ל נסעו
הילדה למדה לנגן בגיטרה חשמלית,ילדה חשמלית גיטרה ב לנגן למדה
המורה הסבירה את התרגיל הקשה מאוד,מורה מאוד קשה תרגיל הסבירה
אנחנו רואים הצגה מצחיקה מאוד בתיאטרון,אנחנו תיאטרון ב מאוד מצחיקה הצגה רואים
הוא רכב על אופניים בשבילים בפארק,הוא פארק ב שבילים ב אופניים על רכב
היא קנתה שמלה חדשה לחתונה,היא חתונה ל שמלה חדשה קנתה
הם שיחקו כדורגל בחוף הים,הם ים חוף ב כדורגל שיחקו
אני אוהב ללמוד שפות זרות,אני זרות שפות ללמוד אוהב
היא למדה לבשל מאכלים חדשים מהמזרח הרחוק,היא רחוק מזרח מ חדשים מאכלים לבשל למדה
הם שיחקו שחמט בבית קפה,הם קפה בית ב שחמט שיחקו
הילד בכה כי נפל מהאופניים,ילד אופניים מ נפל כי בכה
המורה נתנה מבחן קשה מאוד לתלמידים המצטיינים,מורה מצטיינים תלמידים ל מאוד קשה מבחן נתנה
אנחנו שומעים רעש חזק מאוד מהמכוניות,אנחנו מכוניות מ מאוד חזק רעש שומעים
הוא כתב שיר אהבה מרגש מאוד,הוא מאוד מרגש אהבה שיר כתב
היא ציירה פרחים צבעוניים מאוד בגינה,היא גינה ב מאוד צבעוניים פרחים ציירה
הם קנו רהיטים עתיקים מאוד לביתם החדש,הם ביתם חדש ל מאוד עתיקים רהיטים קנו
אני קורא ספר מתח מרתק מאוד,אני מאוד מרתק מתח ספר קורא
היא בישלה עוגה שוקולד טעימה מאוד,היא מאוד טעימה שוקולד עוגה בישלה
הם נסעו לצפון הארץ לטיול ארוך,הם ארוך טיול ל ארץ צפון ל נסעו
הילדה רקדה בלט קלאסי מאוד,ילדה מאוד קלאסי בלט רקדה
השמש זורחת בבוקר,שמש בוקר ב זורחת
היא אוהבת לקרוא ספרים במיטה,היא מיטה ב ספרים לקרוא אוהבת
הם נוסעים לטיול בהרים,הם הרים ב טיול ל נוסעים
הילד משחק בכדור בחצר,ילד חצר ב כדור ב משחק
המורה מלמדת את התלמידים חשבון,מורה תלמידים חשבון מלמדת
אנחנו אוכלים ארוחת בוקר ביחד,אנחנו ביחד ארוחת בוקר אוכלים
הוא שותה קפה לפני העבודה,הוא עבודה לפני קפה שותה
היא מציירת ציורים יפים על בד,היא בד על ציורים יפים מציירת
הם קונים בגדים חדשים בחנות,הם חנות ב בגדים חדשים קונים
אני אוהב לטייל בים בשקיעה,אני שקיעה ב ים ב לטייל אוהב
היא לומדת לבשל מאכלים איטלקיים,היא איטלקיים מאכלים לבשל לומדת
הם משחקים כדורסל במגרש,הם מגרש ב כדורסל משחקים
הילדה קופצת בחבל בפארק,ילדה פארק ב חבל ב קופצת
המורה כותבת את המילים על הלוח,מורה לוח על מילים כותבת
אנחנו שומעים מוזיקה שקטה ברקע,אנחנו רקע ב מוזיקה שקטה שומעים
הוא רץ בפארק עם חברים,הוא חברים עם פארק ב רץ
היא מכינה עוגה טעימה לאירוע,היא אירוע ל עוגה טעימה מכינה
הם נוסעים לטיול בצפון הארץ,הם ארץ צפון ב טיול ל נוסעים
אני קורא ספר מתח לפני השינה,אני שינה לפני מתח ספר קורא
היא לומדת שפה חדשה באינטרנט,היא אינטרנט ב שפה חדשה לומדת
הם משחקים משחקי קופסה בסלון,הם סלון ב משחקי קופסה משחקים
הילד צוחק מבדיחה מצחיקה,ילד בדיחה מצחיקה מ צוחק
המורה נותנת שיעורי בית לתלמידים,מורה תלמידים ל שיעורי בית נותנת
אנחנו שותים מיץ תפוזים בבוקר,אנחנו בוקר ב מיץ תפוזים שותים
הוא כותב סיפור קצר על חיות,הוא חיות על סיפור קצר כותב
היא מציירת נוף יפה של ים,היא ים של נוף יפה מציירת
הם קונים רהיטים חדשים לבית,הם בית ל רהיטים חדשים קונים
אני קורא עיתון בבית קפה,אני קפה בית ב עיתון קורא
היא מבשלת מרק טעים לארוחת ערב,היא ארוחת ערב ל מרק טעים מבשלת
"הם נוסעים לחו""ל לחופשה","הם חופשה ל חו""ל ל נוסעים"
הילדה רוקדת בלט בסטודיו,ילדה סטודיו ב בלט רוקדת
המורה מסבירה את החומר בכיתה,מורה כיתה ב חומר מסבירה
אנחנו רואים סרט בטלוויזיה בערב,אנחנו ערב ב טלוויזיה ב סרט רואים
הוא נוסע באוטובוס לעבודה בבוקר,הוא בוקר ב עבודה ל אוטובוס ב נוסע
היא קונה בגדים לתינוק בחנות,היא חנות ב תינוק ל בגדים קונה
הם הולכים לגינה הציבורית עם הכלב,הם כלב עם גינה ציבורית ל הולכים
היא לומדת לרקוד ריקוד חדש בסטודיו,היא סטודיו ב ריקוד חדש לרקוד לומדת
הם משחקים משחקי קופסה בסלון עם חברים,הם חברים עם סלון ב משחקי קופסה משחקים
הילד צוחק מסרט מצחיק בקולנוע,ילד קולנוע ב סרט מצחיק מ צוחק
המורה נותנת שיעורי בית קשים לתלמידים המצטיינים,מורה מצטיינים תלמידים ל קשים שיעורי בית נותנת
אנחנו שותים מים קרים ביום חם,אנחנו יום חם ב מים קרים שותים
הוא כותב סיפור קצר על חיות בגן החיות,הוא גן חיות ב חיות על סיפור קצר כותב
היא מציירת נוף ים יפה מאוד,היא מאוד יפה ים נוף מציירת
הם קונים רהיטים חדשים לביתם החדש,הם ביתם חדש ל רהיטים חדשים קונים
אני קורא ספר מעניין על היסטוריה עולמית,אני עולמית היסטוריה על מעניין ספר קורא
היא מבשלת עוגה טעימה ליום ההולדת שלי,היא שלי יום הולדת ל עוגה טעימה מבשלת
הם נוסעים לטיול משפחתי ארוך,הם ארוך משפחתי טיול ל נוסעים
הילדה לומדת לנגן בגיטרה חשמלית,ילדה חשמלית גיטרה ב לנגן לומדת
המורה מסבירה את התרגיל הקשה מאוד,מורה מאוד קשה תרגיל מסבירה
הוא רוכב על אופניים בשבילים בפארק,הוא פארק ב שבילים ב אופניים על רוכב
היא קונה שמלה חדשה לחתונה,היא חתונה ל שמלה חדשה קונה
הם משחקים כדורגל בחוף הים,הם ים חוף ב כדורגל משחקים
היא לומדת לבשל מאכלים חדשים מהמזרח הרחוק,היא רחוק מזרח מ חדשים מאכלים לבשל לומדת
הם משחקים שחמט בבית קפה,הם קפה בית ב שחמט משחקים
הילד בוכה כי נפל מהאופניים,ילד אופניים מ נפל כי בוכה
המורה נותנת מבחן קשה לתלמידים המצטיינים,מורה מצטיינים תלמידים ל קשה מבחן נותנת
אנחנו שומעים רעש חזק מהמכוניות,אנחנו מכוניות מ חזק רעש שומעים
הוא כותב שיר אהבה מרגש,הוא מרגש אהבה שיר כותב
היא מציירת פרחים צבעוניים בגינה,היא גינה ב צבעוניים פרחים מציירת
הם קונים רהיטים עתיקים לביתם החדש,הם ביתם חדש ל עתיקים רהיטים קונים
אני קורא ספר מתח מרתק,אני מרתק מתח ספר קורא
היא מבשלת עוגת שוקולד טעימה,היא טעימה שוקולד עוגה מבשלת
הם נוסעים לצפון הארץ לטיול ארוך,הם ארוך טיול ל ארץ צפון ל נוסעים
הילדה רוקדת בלט קלאסי,ילדה קלאסי בלט רוקדת
המורה מסבירה את הנוסחה המורכבת,מורה מורכבת נוסחה מסבירה
אנחנו רואים סרט פעולה בבית קולנוע,אנחנו קולנוע בית ב פעולה סרט רואים
הוא נוהג במכונית בזהירות רבה,הוא רבה בזהירות מכונית ב נוהג
הציפורים שרות בבוקר,ציפורים בוקר ב שרות
היא אוהבת לצייר נופים בטבע,היא טבע ב נופים לצייר אוהבת
הם נוסעים לטיול בים המלח,הם ים המלח ב טיול ל נוסעים
הילד משחק במכוניות צעצוע על הרצפה,ילד רצפה על צעצוע מכוניות ב משחק
המורה מלמדת את התלמידים אנגלית,מורה תלמידים אנגלית מלמדת
אנחנו אוכלים ארוחת צהריים במסעדה,אנחנו מסעדה ב ארוחת צהריים אוכלים
הוא שותה תה עם לימון לפני השינה,הוא שינה לפני לימון עם תה שותה
היא מציירת פורטרטים של אנשים,היא אנשים של פורטרטים מציירת
הם קונים פירות וירקות טריים בשוק,הם שוק ב טריים ירקות ופירות קונים
אני אוהב לטייל ביער בחורף,אני חורף ב יער ב לטייל אוהב
היא לומדת לנגן בפסנתר קלאסי,היא קלאסי פסנתר ב לנגן לומדת
הם משחקים טניס במגרש הטניס,הם טניס מגרש ב טניס משחקים
הילדה קופצת בחבל בגינה הציבורית,ילדה גינה ציבורית ב חבל ב קופצת
המורה כותבת משפטים על הלוח,מורה לוח על משפטים כותבת
אנחנו שומעים צלילי גשם חזקים בחוץ,אנחנו חוץ ב חזקים גשם צלילי שומעים
הוא רץ בפארק עם הכלב שלו בבוקר,הוא בוקר ב שלו כלב עם פארק ב רץ
היא מכינה ארוחת ערב חגיגית למשפחה,היא משפחה ל חגיגית ארוחת ערב מכינה
הם נוסעים לטיול במדבר עם חברים,הם חברים עם מדבר ב טיול ל נוסעים
אני קורא ספר מדע בדיוני לפני השינה,אני שינה לפני בדיוני מדע ספר קורא
היא לומדת שפה חדשה באוניברסיטה,היא אוניברסיטה ב שפה חדשה לומדת
הם משחקים משחקי וידאו בסלון,הם סלון ב וידאו משחקי משחקים
הילד צוחק מבדיחות של חברים,ילד חברים של בדיחות מ צוחק
המורה נותנת מבחן קצר לתלמידים,מורה תלמידים ל קצר מבחן נותנת
אנחנו שותים שוקו חם בערב חורפי,אנחנו חורפי ערב ב חם שוקו שותים
הוא כותב שירים על אהבה וטבע,הוא טבע ו אהבה על שירים כותב
היא מציירת תמונות של חיות מחמד,היא מחמד חיות של תמונות מציירת
הם קונים בגדים חמים לחורף,הם חורף ל חמים בגדים קונים
אני קורא עיתון בבית קפה בבוקר,אני בוקר ב קפה בית ב עיתון קורא
היא מבשלת מרק ירקות טעים לארוחת צהריים,היא צהריים ארוחת ל טעים ירקות מרק מבשלת
הם נוסעים לטיול באילת לחופשה,הם חופשה ל אילת ב טיול ל נוסעים
הילדה רוקדת ריקודים סלוניים בסטודיו,ילדה סלוניים ריקודים סטודיו ב רוקדת
המורה מסבירה את החוקים בכיתה,מורה כיתה ב חוקים מסבירה
אנחנו רואים סרט דוקומנטרי בטלוויזיה בערב,אנחנו ערב ב טלוויזיה ב דוקומנטרי סרט רואים
הוא נוסע באופניים לעבודה בבוקר,הוא בוקר ב עבודה ל אופניים ב נוסע
היא קונה צעצועים לילדים בחנות צעצועים,היא צעצועים חנות ב ילדים ל צעצועים קונה
הם הולכים לגינה הציבורית עם חברים וכלבים,הם כלבים ו חברים עם גינה ציבורית ל הולכים
אני אוהב לכתוב סיפורים קצרים על הרפתקאות,אני הרפתקאות על קצרים סיפורים לכתוב אוהב
היא לומדת לרקוד ריקודים לטיניים בסטודיו לריקוד,היא ריקוד ל סטודיו ב לטיניים ריקודים לרקוד לומדת
הם משחקים משחקי קלפים בסלון עם המשפחה,הם משפחה עם סלון ב קלפים משחקי משחקים
הילד צוחק מסרט מצויר בטלוויזיה,ילד טלוויזיה ב מצויר סרט מ צוחק
המורה נותנת שיעורי בית קשים מאוד לתלמידים המצטיינים,מורה מצטיינים תלמידים ל מאוד קשים שיעורי בית נותנת
אנחנו שותים משקאות חמים מאוד ביום חורפי,אנחנו חורפי יום ב מאוד חמים משקאות שותים
הוא כותב סיפורים קצרים מאוד על חיות בגן החיות,הוא גן חיות ב חיות על מאוד קצרים סיפורים כותב
היא מציירת נופים עירוניים יפים מאוד,היא מאוד יפים עירוניים נופים מציירת
הם קונים רהיטים חדשים מאוד לביתם החדש,הם ביתם חדש ל מאוד חדשים רהיטים קונים
אני קורא ספר מעניין מאוד על היסטוריה יהודית,אני יהודית היסטוריה על מאוד מעניין ספר קורא
היא מבשלת עוגות טעימות מאוד ליום ההולדת שלי,היא שלי יום הולדת ל מאוד טעימות עוגות מבשלת
הם נוסעים לטיול משפחתי ארוך מאוד בצפון הארץ,הם ארץ צפון ב מאוד ארוך משפחתי טיול ל נוסעים
הילדה לומדת לנגן בפסנתר כנף חשמלי,ילדה חשמלי כנף פסנתר ב לנגן לומדת
המורה מסבירה את התרגיל הקשה מאוד לתלמידים,מורה תלמידים ל מאוד קשה תרגיל מסבירה
אנחנו רואים הצגות מצחיקות מאוד בתיאטרון העירוני,אנחנו עירוני תיאטרון ב מאוד מצחיקות הצגות רואים
הוא רוכב על אופניים בשבילים צרים בפארק הלאומי,הוא לאומי פארק ב צרים שבילים ב אופניים על רוכב
היא קונה שמלות חדשות לחתונה של חברה,היא חברה של חתונה ל חדשות שמלות קונה
הם משחקים כדורסל בחוף הים עם חברים,הם חברים עם ים חוף ב כדורסל משחקים
אני אוהב ללמוד שפות עתיקות,אני עתיקות שפות ללמוד אוהב
היא לומדת לבשל מאכלים חדשים מהמטבח הצרפתי,היא צרפתי מטבח מ חדשים מאכלים לבשל לומדת
הם משחקים שחמט בבית קפה עם חברים,הם חברים עם קפה בית ב שחמט משחקים
הילד בוכה כי נפל מהאופניים החדשים,ילד חדשים אופניים מ נפל כי בוכה
המורה נותנת מבחנים קשים לתלמידים המצטיינים מאוד,מורה מאוד מצטיינים תלמידים ל קשים מבחנים נותנת
אנחנו שומעים רעשים חזקים מאוד מהמכוניות והאוטובוסים,אנחנו אוטובוסים ו מכוניות מ מאוד חזקים רעשים שומעים
הפרחים פורחים באביב,פרחים אביב ב פורחים
היא אוהבת לטייל בהרים בשלג,היא שלג ב הרים ב לטייל אוהבת
הם נוסעים לטיול בנגב עם ג'יפים,הם ג'יפים עם נגב ב טיול ל נוסעים
הילד משחק בלגו על השולחן,ילד שולחן על לגו ב משחק
המורה מלמדת את התלמידים גיאוגרפיה,מורה תלמידים גיאוגרפיה מלמדת
אנחנו אוכלים ארוחת ערב משפחתית בבית,אנחנו בית ב משפחתית ארוחת ערב אוכלים
הוא שותה שוקו חם עם מרשמלו בחורף,הוא חורף ב מרשמלו עם חם שוקו שותה
היא מציירת ציורים מופשטים על קנבס,היא קנבס על מופשטים ציורים מציירת
הם קונים בגדים חגיגיים לאירוע,הם אירוע ל חגיגיים בגדים קונים
אני אוהב לטייל ביערות גשם בקיץ,אני קיץ ב גשם יערות ב לטייל אוהב
היא לומדת לנגן בכינור קלאסי,היא קלאסי כינור ב לנגן לומדת
הם משחקים סקווש במגרש הסקווש,הם סקווש מגרש ב סקווש משחקים
הילדה קופצת בחבל בגינה הציבורית עם חברים,ילדה חברים עם גינה ציבורית ב חבל ב קופצת
המורה כותבת שאלות על הלוח,מורה לוח על שאלות כותבת
אנחנו שומעים צלילי מוזיקה קלאסית ברקע,אנחנו רקע ב קלאסית מוזיקה צלילי שומעים
הוא רץ במרתון עם חברים,הוא חברים עם מרתון ב רץ
היא מכינה קינוח טעים לאורחים,היא אורחים ל טעים קינוח מכינה
הם נוסעים לטיול בים התיכון בסירה,הם סירה ב ים התיכון ב טיול ל נוסעים
אני קורא ספר פנטזיה לפני השינה,אני שינה לפני פנטזיה ספר קורא
היא לומדת שפה חדשה באפליקציה,היא אפליקציה ב שפה חדשה לומדת
הם משחקים משחקי אסטרטגיה בסלון,הם סלון ב אסטרטגיה משחקי משחקים
הילד צוחק מבדיחות של סבא,ילד סבא של בדיחות מ צוחק
המורה נותנת חידות לתלמידים,מורה תלמידים ל חידות נותנת
אנחנו שותים תה ירוק בבוקר,אנחנו בוקר ב ירוק תה שותים
הוא כותב סיפורים קצרים על הרפתקאות בחלל,הוא חלל ב הרפתקאות על קצרים סיפורים כותב
היא מציירת תמונות של נופים עירוניים בלילה,היא לילה ב עירוניים נופים של תמונות מציירת
הם קונים בגדים חמים מאוד לחורף הקר,הם קר חורף ל מאוד חמים בגדים קונים
אני קורא עיתון בבית קפה בשבת בבוקר,אני שבת ב בוקר ב קפה בית ב עיתון קורא
היא מבשלת מרק עדשים טעים לארוחת צהריים חורפית,היא חורפית צהריים ארוחת ל טעים עדשים מרק מבשלת
הם נוסעים לטיול בים האדום בצלילה,הם צלילה ב ים האדום ב טיול ל נוסעים
הילדה רוקדת ריקודי בטן בסטודיו לריקוד מזרחי,ילדה מזרחי ריקוד ל סטודיו ב בטן ריקודי רוקדת
המורה מסבירה את הנושאים בכיתה בצורה ברורה,מורה ברורה צורה ב כיתה ב נושאים מסבירה
אנחנו רואים סרט מדע בדיוני בטלוויזיה בערב עם חברים,אנחנו חברים עם ערב ב טלוויזיה ב בדיוני מדע סרט רואים
הוא נוסע ברכבת לעבודה בבוקר מוקדם,הוא מוקדם בוקר ב עבודה ל רכבת ב נוסע
היא קונה מתנות ליום הולדת של חברה טובה,היא טובה חברה של הולדת יום ל מתנות קונה
הם הולכים לגינה הבוטנית עם המשפחה והכלבים,הם כלבים ו משפחה עם בוטנית גינה ל הולכים
אני אוהב לכתוב רומנים היסטוריים על תקופות קדומות,אני קדומות תקופות על היסטוריים רומנים לכתוב אוהב
היא לומדת לרקוד ריקודים סלסה בסטודיו לריקודים לטיניים,היא לטיניים ריקודים ל סטודיו ב סלסה ריקודים לרקוד לומדת
הם משחקים משחקי לוח בסלון עם חברים ומשפחה,הם משפחה ו חברים עם סלון ב לוח משחקי משחקים
הילד צוחק מסדרת טלוויזיה מצחיקה מאוד,ילד מאוד מצחיקה טלוויזיה סדרה מ צוחק
המורה נותנת שיעורי בית קשים במיוחד לתלמידים המצטיינים מאוד,מורה מאוד מצטיינים תלמידים ל במיוחד קשים שיעורי בית נותנת
אנחנו שותים משקאות חמים מאוד ביום חורפי וגשום,אנחנו גשום ו חורפי יום ב מאוד חמים משקאות שותים
הוא כותב סיפורים קצרים מאוד על חיות בגן החיות העירוני,הוא עירוני חיות גן ב חיות על מאוד קצרים סיפורים כותב
היא מציירת נופים עירוניים מרהיבים מאוד בלילה,היא לילה ב מאוד מרהיבים עירוניים נופים מציירת
